"init_tprime";"init_t";"init_p";"seed";"nm";"nf";"dm";"df";"base_surv";"base_mort";"a";"cp";"cs";"k";"fl";"fh";"control_p";"control_t";"control_tprime";"mu_t";"mu_p";"mu_tprime";"sdmu_t";"sdmu_p";"sdmu_tprime";"generation";"t";"p";"tprime";"var_t";"var_p";"var_tprime";"file"
0.01;0.01;0.2;2646994702;7;5;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00163032;0.0292527;-0.00401405;0.000356138;0.000361014;0.00099504;"./output_51.csv"
0.01;0.01;0.2;1423058647;8;4;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00287102;0.0142073;0.0186174;0.000437921;0.00129586;0.000611286;"./output_52.csv"
0.01;0.01;0.2;1908436327;9;3;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00105738;0.0298814;0.0013791;0.000404522;0.000355215;0.000988391;"./output_53.csv"
0.01;0.01;0.2;1099457583;10;2;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00282647;0.0195696;0.00185079;0.000362805;0.000675043;0.000998882;"./output_54.csv"
0.01;0.01;0.2;3499675625;2;10;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00557973;0.0228578;-0.0097362;0.000407769;0.000467162;0.000450369;"./output_55.csv"
0.01;0.01;0.2;2254511187;3;9;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.00619615;0.018445;0.0212103;0.000584726;0.000632029;0.000758335;"./output_56.csv"
0.01;0.01;0.2;762867910;4;8;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.0022933;0.0408333;-0.00869158;0.000688785;-0.000342626;0.000925153;"./output_57.csv"
0.01;0.01;0.2;1939711978;5;7;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00286976;0.0441989;-0.00383872;0.000637931;-0.000298962;0.000984665;"./output_58.csv"
0.01;0.01;0.2;2211318858;6;6;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.000412149;0.0348372;0.00628904;0.000557773;0.000729834;0.000688999;"./output_59.csv"
0.01;0.01;0.2;766416865;7;5;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;0;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.000242137;0.0267386;0.0124913;0.000334493;0.000330703;0.000654982;"./output_6.csv"
0.01;0.01;0.2;2780179411;7;5;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.0026591;0.0184583;0.0028121;0.000493593;0.00106838;0.000771619;"./output_60.csv"
0.01;0.01;0.2;2984074052;8;4;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00575003;0.0253479;-0.00255234;0.000499254;0.000433779;0.00111764;"./output_61.csv"
0.01;0.01;0.2;2057826618;9;3;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;0.00030194;0.0333399;0.00425181;0.000499945;0.000161701;0.00123318;"./output_62.csv"
0.01;0.01;0.2;2479936949;10;2;0.2;0.2;0.02;0.02;1;0.1;0.5;0.5;0.9;1;0;1;0;0.01;0.01;0.01;0.01;0.01;0.01;49980;-0.000513618;0.037087;0.00031213;0.000532828;0.000522244;0.00113345;"./output_63.csv"
